row,status,problem,run_id,schema,certificate_path,certificate_exists,hash_ok,verify_ok,summary_hash_ok,summary_score_ok,error,summary_path
0,passed,guillotine,guillotine/rect_direct_disjoint/packing_resize/depth_limited_dp/budget86400/git20750a588a5b,guillotine_certificate_v1,runs/main_81_24h_20260709_1623/main_results/main/guillotine/rect_direct_disjoint/packing_resize/depth_limited_dp/certificates/best_iter000830_95b666a6f2ce.json,True,True,True,True,True,,/home/sg9396/patternboost/multi-level-20750a588a5b/runs/main_81_24h_20260709_1623/main_results/main/guillotine/rect_direct_disjoint/packing_resize/depth_limited_dp/summary.json
1,passed,guillotine,guillotine/rect_direct_disjoint/packing_resize/first_cut_obstruction/budget86400/git20750a588a5b,guillotine_certificate_v1,runs/main_81_24h_20260709_1623/main_results/main/guillotine/rect_direct_disjoint/packing_resize/first_cut_obstruction/certificates/best_iter006535_e3a079bb3ea1.json,True,True,True,True,True,,/home/sg9396/patternboost/multi-level-20750a588a5b/runs/main_81_24h_20260709_1623/main_results/main/guillotine/rect_direct_disjoint/packing_resize/first_cut_obstruction/summary.json
2,passed,guillotine,guillotine/rect_direct_disjoint/packing_resize/k_subset_nonseparability/budget86400/git20750a588a5b,guillotine_certificate_v1,runs/main_81_24h_20260709_1623/main_results/main/guillotine/rect_direct_disjoint/packing_resize/k_subset_nonseparability/certificates/best_iter000715_6609d52925e3.json,True,True,True,True,True,,/home/sg9396/patternboost/multi-level-20750a588a5b/runs/main_81_24h_20260709_1623/main_results/main/guillotine/rect_direct_disjoint/packing_resize/k_subset_nonseparability/summary.json
3,passed,guillotine,guillotine/rect_direct_disjoint/recursive_gadget_assembly/depth_limited_dp/budget86400/git20750a588a5b,guillotine_certificate_v1,runs/main_81_24h_20260709_1623/main_results/main/guillotine/rect_direct_disjoint/recursive_gadget_assembly/depth_limited_dp/certificates/best_iter001420_ba420107ce52.json,True,True,True,True,True,,/home/sg9396/patternboost/multi-level-20750a588a5b/runs/main_81_24h_20260709_1623/main_results/main/guillotine/rect_direct_disjoint/recursive_gadget_assembly/depth_limited_dp/summary.json
4,passed,guillotine,guillotine/rect_direct_disjoint/recursive_gadget_assembly/first_cut_obstruction/budget86400/git20750a588a5b,guillotine_certificate_v1,runs/main_81_24h_20260709_1623/main_results/main/guillotine/rect_direct_disjoint/recursive_gadget_assembly/first_cut_obstruction/certificates/best_iter008065_86abecc14b8f.json,True,True,True,True,True,,/home/sg9396/patternboost/multi-level-20750a588a5b/runs/main_81_24h_20260709_1623/main_results/main/guillotine/rect_direct_disjoint/recursive_gadget_assembly/first_cut_obstruction/summary.json
5,passed,guillotine,guillotine/rect_direct_disjoint/recursive_gadget_assembly/k_subset_nonseparability/budget86400/git20750a588a5b,guillotine_certificate_v1,runs/main_81_24h_20260709_1623/main_results/main/guillotine/rect_direct_disjoint/recursive_gadget_assembly/k_subset_nonseparability/certificates/best_iter001065_d2576eee56a3.json,True,True,True,True,True,,/home/sg9396/patternboost/multi-level-20750a588a5b/runs/main_81_24h_20260709_1623/main_results/main/guillotine/rect_direct_disjoint/recursive_gadget_assembly/k_subset_nonseparability/summary.json
6,passed,guillotine,guillotine/rect_direct_disjoint/witness_breaking/depth_limited_dp/budget86400/git20750a588a5b,guillotine_certificate_v1,runs/main_81_24h_20260709_1623/main_results/main/guillotine/rect_direct_disjoint/witness_breaking/depth_limited_dp/certificates/best_iter002030_2ad1a505e6f3.json,True,True,True,True,True,,/home/sg9396/patternboost/multi-level-20750a588a5b/runs/main_81_24h_20260709_1623/main_results/main/guillotine/rect_direct_disjoint/witness_breaking/depth_limited_dp/summary.json
7,passed,guillotine,guillotine/rect_direct_disjoint/witness_breaking/first_cut_obstruction/budget86400/git20750a588a5b,guillotine_certificate_v1,runs/main_81_24h_20260709_1623/main_results/main/guillotine/rect_direct_disjoint/witness_breaking/first_cut_obstruction/certificates/best_iter001775_cfd58d91ab3a.json,True,True,True,True,True,,/home/sg9396/patternboost/multi-level-20750a588a5b/runs/main_81_24h_20260709_1623/main_results/main/guillotine/rect_direct_disjoint/witness_breaking/first_cut_obstruction/summary.json
8,passed,guillotine,guillotine/rect_direct_disjoint/witness_breaking/k_subset_nonseparability/budget86400/git20750a588a5b,guillotine_certificate_v1,runs/main_81_24h_20260709_1623/main_results/main/guillotine/rect_direct_disjoint/witness_breaking/k_subset_nonseparability/certificates/best_iter000155_a675828db84c.json,True,True,True,True,True,,/home/sg9396/patternboost/multi-level-20750a588a5b/runs/main_81_24h_20260709_1623/main_results/main/guillotine/rect_direct_disjoint/witness_breaking/k_subset_nonseparability/summary.json
9,passed,guillotine,guillotine/recursive_obstruction_grammar/packing_resize/depth_limited_dp/budget86400/git20750a588a5b,guillotine_certificate_v1,runs/main_81_24h_20260709_1623/main_results/main/guillotine/recursive_obstruction_grammar/packing_resize/depth_limited_dp/certificates/best_iter000000_7533307ab638.json,True,True,True,True,True,,/home/sg9396/patternboost/multi-level-20750a588a5b/runs/main_81_24h_20260709_1623/main_results/main/guillotine/recursive_obstruction_grammar/packing_resize/depth_limited_dp/summary.json
